"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"115","Thot","Super League S6 EU Premier League","Shambling Undead",19526,208.97,209.57,NA,"Thot",250.88,267.98,253.28,"France","474 (269/97/108)",66.98,0,"0- EU Premier League"
"116","Baki","Super League S6 EU Premier League","Chaos Chosen",19064,191.77,237.9,NA,"Baki",273.14,279.69,279.69,"Germany","291 (162/70/59)",67.7,0,"0- EU Premier League"
"117","Strider84","Super League S6 EU Premier League","Human",14113,183.38,258.36,NA,"strider84",260.02,268.14,261.25,"Switzerland","273 (150/63/60)",66.48,0,"0- EU Premier League"
"118","straume","Super League S6 EU Premier League","Chaos Renegade",20685,175.96,247.22,NA,"Straume",256.62,299.1,293.48,"Norway","446 (241/135/70)",69.17,0,"0- EU Premier League"
"119","JB","Super League S6 EU Premier League","Dwarf",28280,173.38,216.04,NA,"jb",246.77,270.63,261.79,"Ladonia","161 (90/41/30)",68.63,0,"0- EU Premier League"
"120","Grumplekins","Super League S6 EU Premier League","Shambling Undead",26358,163.37,210.9,NA,"grumplekins",209.18,240.63,219.61,"Sweden","278 (115/84/79)",56.47,0,"0- EU Premier League"
"121","joeseph","Super League S6 EU Swiss A","Necromantic Horror",38195,220.11,220.11,NA,"joeseph",271.75,271.75,271.75,"Wales","133 (72/38/23)",68.42,501,"04 – EU Swiss"
"122","camelchops","Super League S6 EU Swiss A","Skaven",32575,214.04,214.04,NA,"camelchops",245.1,266.45,266.45,"Scotland","136 (73/39/24)",68.01,501,"04 – EU Swiss"
"123","rayhell","Super League S6 EU Swiss A","Vampire",30281,213.6,213.6,NA,"rayhell",248.26,256,256,"Poland","188 (97/44/47)",63.3,501,"04 – EU Swiss"
"124","beastquest","Super League S6 EU Swiss A","Lizardmen",27095,212.75,212.75,NA,"NightSword",225.03,242.95,237.23,"Malta","273 (107/78/88)",53.48,501,"04 – EU Swiss"
"125","nonumber","Super League S6 EU Swiss A","Shambling Undead",8923,209.49,217.43,NA,"Nonumber",222.41,260.43,248.3,"Wales","612 (262/150/200)",55.07,501,"04 – EU Swiss"
"126","Rone13169","Super League S6 EU Swiss A","Amazon",24110,204.46,204.46,NA,"rone",229.71,247.44,229.71,"Malta","276 (132/59/85)",58.51,501,"04 – EU Swiss"
"127","mepmuff_2","Super League S6 EU Swiss A","Norse",6123,201.72,201.72,NA,"Mepmuff",214.72,234.32,228.86,"Netherlands","533 (237/123/173)",56,501,"04 – EU Swiss"
"128","Wolter","Super League S6 EU Swiss A","Chaos Chosen",29078,199.27,199.55,NA,"Wolter",242.41,244.18,244.18,"Denmark","206 (92/51/63)",57.04,501,"04 – EU Swiss"
"129","Monitor4321","Super League S6 EU Swiss A","Old World Alliance",33726,195.74,230.56,NA,"monitor",261.63,270.51,270.51,"France","177 (98/49/30)",69.21,501,"04 – EU Swiss"
"130","2Gutta","Super League S6 EU Swiss A","Tomb Kings",24787,185.3,185.3,NA,"2GUTTA",195.59,199.23,199.23,"Poland","57 (24/16/17)",56.14,501,"04 – EU Swiss"
"131","ABF","Super League S6 EU Swiss A","Khorne",32674,179.75,179.75,NA,"abf",167.85,182.76,182.76,"Colombia","65 (27/16/22)",53.85,501,"04 – EU Swiss"
"132","Ironbreaker","Super League S6 EU Swiss A","Shambling Undead",25312,176.26,199.03,NA,"ironbreaker",190.53,226.09,205.09,"Portugal","169 (82/39/48)",60.06,501,"04 – EU Swiss"
"133","starnovi","Super League S6 EU Swiss A","Norse",31896,174.03,174.03,NA,"Novi",181.03,197.42,189.96,"Slovenia","78 (35/18/25)",56.41,501,"04 – EU Swiss"
"134","Shriyke","Super League S6 EU Swiss A","Skaven",30033,169.78,210.98,NA,"shriyke",232.68,236.45,236.45,"Scotland","191 (91/46/54)",59.69,501,"04 – EU Swiss"
"135","SteelyKnife","Super League S6 EU Swiss A","Shambling Undead",17473,169.66,169.66,NA,"SteelyKnife",206.79,211.17,211.17,"Denmark","161 (57/42/62)",48.45,501,"04 – EU Swiss"
"136","Bugrum","Super League S6 EU Swiss A","Skaven",21410,163.16,215.88,NA,"Janninu",252.98,271.54,271.54,"Malta","585 (294/146/145)",62.74,501,"04 – EU Swiss"
"137","MarkyMarc","Super League S6 EU Swiss A","Slann",25254,161.35,217.76,NA,"Markymarc",201.01,261.48,243.3,"Scotland","289 (151/66/72)",63.67,501,"04 – EU Swiss"
"138","Crowdog09","Super League S6 EU Swiss A","Vampire",25747,160.83,177.57,NA,"crowdog09",198.42,221.18,206.18,"Ireland","78 (37/21/20)",60.9,501,"04 – EU Swiss"
"139","Rib-Goaty","Super League S6 EU Swiss A","Old World Alliance",40225,160.39,160.39,NA,"Rib-Goaty",165.16,167.01,167.01,"Portugal","15 (7/3/5)",56.67,501,"04 – EU Swiss"
"140","Purdindas","Super League S6 EU Swiss A","High Elf",10831,159.05,188.3,NA,"Purdindas",207.45,229.1,229.1,"Scotland","628 (257/153/218)",53.11,501,"04 – EU Swiss"
"141","Faskill","Super League S6 EU Swiss A","Necromantic Horror",39913,156.61,173.58,NA,"faskill",191.81,194.65,194.65,"France","22 (11/6/5)",63.64,501,"04 – EU Swiss"
"142","Piogele","Super League S6 EU Swiss A","Dwarf",27730,155.33,181.95,NA,"piogele",189.03,227.77,195.24,"Switzerland","75 (34/12/29)",53.33,501,"04 – EU Swiss"
"143","tripio","Super League S6 EU Swiss A","Wood Elf",39874,155.16,160.2,NA,"vlad-khrychov",164.9,165.35,165.35,"Ukraine","8 (4/4/0)",75,501,"04 – EU Swiss"
"144","DrClaes","Super League S6 EU Swiss A","Snotling",29945,154.78,154.78,NA,"drclaes",157.76,161.91,161.91,"On a deserted island","22 (7/2/13)",36.36,501,"04 – EU Swiss"
"145","docminiature","Super League S6 EU Swiss A","Shambling Undead",30923,154.35,160.83,NA,"docminiature",163.37,182.49,163.42,"England","165 (62/36/67)",48.48,501,"04 – EU Swiss"
"146","WiIfred","Super League S6 EU Swiss A","Shambling Undead",29172,154.28,187.01,NA,"Bjarke",206.34,224.46,221.13,"Denmark","88 (43/21/24)",60.8,501,"04 – EU Swiss"
"147","YangZubr","Super League S6 EU Swiss A","Orc",38993,153.32,153.32,NA,"yangzubr",153.62,157.2,157.2,"Ukraine","8 (3/3/2)",56.25,501,"04 – EU Swiss"
"148","DoubleEdge","Super League S6 EU Swiss A","Amazon",26575,151.24,156.98,NA,"Orca",165.01,178.76,178.76,"Malta","207 (69/49/89)",45.17,501,"04 – EU Swiss"
"149","FL0","Super League S6 EU Swiss A","Khorne",30447,145.35,145.35,NA,"FL0",156.3,163.32,163.32,"France","94 (26/24/44)",40.43,501,"04 – EU Swiss"
"150","tyler_swaft","Super League S6 EU Swiss A","Wood Elf",33323,141.04,218.42,NA,"Tyler_swaft",196.09,234.26,233.97,"England","107 (50/31/26)",61.21,501,"04 – EU Swiss"
"151","razmus","Super League S6 EU Swiss A","Elven Union",24325,NA,154.15,NA,"razmus",157.46,161.83,161.67,"United States of America","29 (12/4/13)",48.28,501,"04 – EU Swiss"
"152","Evomot","Super League S6 EU Swiss A","Orc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"153","jvidix","Super League S6 EU Swiss A","Dark Elf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"154","MurkyWater","Super League S6 EU Swiss A","Necromantic Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"155","giorngiovanna","Super League S6 EU Swiss A","Amazon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"156","gsverhoeven","Super League S6 EU Swiss A","Amazon",29736,NA,157.49,NA,"gsverhoeven",126.95,151.34,126.95,"Netherlands","87 (21/21/45)",36.21,501,"04 – EU Swiss"
"157","cornishwoon","Super League S6 EU Swiss A","Vampire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"158","M1le","Super League S6 EU Swiss A","Skaven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"159","bicycleboywill","Super League S6 EU Swiss A","Shambling Undead",31685,NA,169.35,NA,"BBWill",157.28,175.33,175.33,"England","45 (12/14/19)",42.22,501,"04 – EU Swiss"
"160","TheArtemisBlack","Super League S6 EU Swiss A","Dwarf",27588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"161","thulean","Super League S6 EU Swiss B","Amazon",28239,221.55,221.55,NA,"thulean",261.38,292.25,292.25,"England","259 (148/47/64)",66.22,9999,"04 – EU Swiss"
"162","sann0638","Super League S6 EU Swiss B","Amazon",8866,214.27,217.99,NA,"sann0638",247.91,255.61,251.84,"Scotland","633 (321/132/180)",61.14,9999,"04 – EU Swiss"
"163","Fuel","Super League S6 EU Swiss B","Dwarf",28517,209.66,209.66,NA,"Fuel",242.4,242.4,242.4,"Lithuania","67 (39/15/13)",69.4,9999,"04 – EU Swiss"
"164","jd2rbnds","Super League S6 EU Swiss B","Chaos Chosen",32817,208.88,208.88,NA,"Rupert",231.11,236.6,236.6,"Poland","141 (64/40/37)",59.57,9999,"04 – EU Swiss"
"165","Undress_","Super League S6 EU Swiss B","Slann",29927,204.48,204.48,NA,"undress_",236.63,252.56,252.56,"On a deserted island","156 (83/40/33)",66.03,9999,"04 – EU Swiss"
"166","dementor42","Super League S6 EU Swiss B","Amazon",21143,203.78,209.88,NA,"dementor",247.35,264.09,264.09,"Wales","367 (143/79/145)",49.73,9999,"04 – EU Swiss"
"167","TalonBay","Super League S6 EU Swiss B","Underworld Denizens",6858,201.84,201.84,NA,"TalonBay",208.25,237.42,216.65,"Scotland","215 (107/39/69)",58.84,9999,"04 – EU Swiss"
"168","Dadde","Super League S6 EU Swiss B","Vampire",15027,198.21,198.21,NA,"dadde",226.35,229.92,229.92,"Italy","117 (52/25/40)",55.13,9999,"04 – EU Swiss"
"169","spoboyle","Super League S6 EU Swiss B","Amazon",22121,186.46,186.46,NA,"spob",211.27,220.68,220.68,"England","174 (71/42/61)",52.87,9999,"04 – EU Swiss"
"170","WoZoI","Super League S6 EU Swiss B","Dark Elf",30779,184.62,184.62,NA,"wozoi",182.93,225.7,225.7,"France","168 (59/45/64)",48.51,9999,"04 – EU Swiss"
"171","MontelGee","Super League S6 EU Swiss B","Orc",35493,179.22,179.22,NA,"montelleke",209.85,210.69,210.69,"Belgium","52 (28/13/11)",66.35,9999,"04 – EU Swiss"
"172","stikman","Super League S6 EU Swiss B","Dwarf",23806,177.77,177.77,NA,"Stikman",190.56,199.17,190.56,"Poland","170 (61/42/67)",48.24,9999,"04 – EU Swiss"
"173","palmtaiga","Super League S6 EU Swiss B","Vampire",27077,171.68,171.68,NA,"Palmtaiga",185.17,194.55,194.55,"Malta","223 (74/49/100)",44.17,9999,"04 – EU Swiss"
"174","brinu","Super League S6 EU Swiss B","Shambling Undead",30476,171.27,184.08,NA,"Brinu",191.41,221.68,221.68,"Malta","104 (43/26/35)",53.85,9999,"04 – EU Swiss"
"175","Oren","Super League S6 EU Swiss B","Shambling Undead",26068,170.2,191.75,NA,"Oren",218.4,240.97,240.15,"Poland","248 (105/58/85)",54.03,9999,"04 – EU Swiss"
"176","graysonstark","Super League S6 EU Swiss B","Necromantic Horror",33608,169.28,169.28,NA,"graysonstark",179.46,210.44,210.44,"Ukraine","119 (49/30/40)",53.78,9999,"04 – EU Swiss"
"177","Waschik","Super League S6 EU Swiss B","Chaos Dwarf",31728,160.54,176.2,NA,"Waschik",187.58,197.5,197.5,"Czech Republic","128 (53/27/48)",51.95,9999,"04 – EU Swiss"
"178","Zazu_87","Super League S6 EU Swiss B","Necromantic Horror",34604,159.83,159.83,NA,"Zazu",171.62,182.36,173.52,"Malta","147 (45/44/58)",45.58,9999,"04 – EU Swiss"
"179","Dakyrus","Super League S6 EU Swiss B","Necromantic Horror",25478,159.06,170.1,NA,"Dakyrus",190.96,205.55,205.55,"North Ireland","117 (52/30/35)",57.26,9999,"04 – EU Swiss"
"180","Ragrati","Super League S6 EU Swiss B","Vampire",36237,158.63,165.33,NA,"ragrati",178.03,182.01,182.01,"Belgium","51 (22/10/19)",52.94,9999,"04 – EU Swiss"
"181","elplanet4","Super League S6 EU Swiss B","Chaos Renegade",30428,156.18,214.95,NA,"elplanet4",241.52,288.01,252.81,"England","250 (145/63/42)",70.6,9999,"04 – EU Swiss"
"182","naytsyrhc","Super League S6 EU Swiss B","Vampire",27808,155.26,188.6,NA,"naytsyrhc",203.89,203.89,203.89,"Germany","106 (46/21/39)",53.3,9999,"04 – EU Swiss"
"183","il-Fieres","Super League S6 EU Swiss B","Chaos Dwarf",26579,152.79,156.53,NA,"Fieres",166.02,207.88,207.88,"Malta","223 (76/76/71)",51.12,9999,"04 – EU Swiss"
"184","kosmo","Super League S6 EU Swiss B","Shambling Undead",39313,151.55,186.04,NA,"Kosmo",205.29,205.29,205.29,"Switzerland","51 (19/15/17)",51.96,9999,"04 – EU Swiss"
"185","bamfuzi","Super League S6 EU Swiss B","Orc",29314,149.59,151.76,NA,"bamfuzi",127.42,144.29,133.48,"Austria","22 (4/4/14)",27.27,9999,"04 – EU Swiss"
"186","Ferra76","Super League S6 EU Swiss B","Skaven",20226,144.49,176.84,NA,"ferra",200.69,234.06,203.76,"Italy","443 (160/131/152)",50.9,9999,"04 – EU Swiss"
"187","elodius","Super League S6 EU Swiss B","Wood Elf",26080,141.31,165.37,NA,"elodius",153.1,175.74,158.97,"Belgium","75 (27/17/31)",47.33,9999,"04 – EU Swiss"
"188","Gallo","Super League S6 EU Swiss B","Chaos Chosen",20999,138.86,198.25,NA,"Gallo",236.04,252.63,252.63,"Italy","358 (133/110/115)",52.51,9999,"04 – EU Swiss"
"189","Elkantar","Super League S6 EU Swiss B","Orc",22316,123.27,169.11,NA,"Elkantar",166.41,193.84,193.84,"Germany","210 (70/44/96)",43.81,9999,"04 – EU Swiss"
"190","RobinFern","Super League S6 EU Swiss B","Chaos Renegade",37141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"191","gumbi","Super League S6 EU Swiss B","Elven Union",9259,NA,192.45,NA,"gumbi",175.96,231.92,221.74,"Australia","188 (77/48/63)",53.72,9999,"04 – EU Swiss"
"192","aggborough","Super League S6 EU Swiss B","Imperial Nobility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"193","Baaalthazar","Super League S6 EU Swiss B","Vampire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"194","Pastigon","Super League S6 EU Swiss B","Skaven",40777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"195","Hiliadan","Super League S6 EU Swiss B","Dark Elf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"196","Mournival","Super League S6 EU Swiss B","Human",23496,NA,209.83,NA,"Mournival",241.66,241.66,241.66,"Scotland","269 (114/73/82)",55.95,9999,"04 – EU Swiss"
"197","roxana","Super League S6 EU Swiss B","Shambling Undead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"198","Chicken23","Super League S6 EU Swiss B","Black Orc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"199","Jäärä","Super League S6 EU Swiss B","Norse",17371,NA,163.53,NA,"Jäärä",174.59,176.95,176.95,"Finland","86 (33/20/33)",50,9999,"04 – EU Swiss"
"200","mudarra93","Super League S6 EU Swiss B","Slann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,"04 – EU Swiss"
"201","Grither","Super League S6 NA Swiss","Dwarf",10904,207.82,253.71,NA,"Grither",266.57,301.3,266.57,"United States of America","700 (471/121/108)",75.93,1000,"NA Swiss"
"202","g0nez0","Super League S6 NA Swiss","Wood Elf",37132,204.95,204.95,NA,"G0NEZ0",220.2,224.56,224.56,"Canada","65 (31/16/18)",60,1000,"NA Swiss"
"203","warpstone","Super League S6 NA Swiss","Skaven",13205,203.89,235.8,NA,"Warpstone",243.55,276.46,254.58,"Canada","152 (95/32/25)",73.03,1000,"NA Swiss"
"204","AmazingGaze","Super League S6 NA Swiss","Vampire",32634,201.08,201.08,NA,"AmazingGaze",234.6,236.26,236.26,"Germany","67 (33/18/16)",62.69,1000,"NA Swiss"
"205","JLeav","Super League S6 NA Swiss","Amazon",33751,197.6,222.56,NA,"jleav",278.56,290.73,290.73,"United States of America","183 (130/32/21)",79.78,1000,"NA Swiss"
"206","Laika123","Super League S6 NA Swiss","Amazon",33566,189.01,189.01,NA,"laika",211.05,223.69,220.51,"Canada","84 (45/19/20)",64.88,1000,"NA Swiss"
"207","Xtreme","Super League S6 NA Swiss","Dwarf",1315,187.5,187.5,NA,"Xtreme",210.55,224.69,224.69,"United States of America","516 (248/117/151)",59.4,1000,"NA Swiss"
"208","seanh1986","Super League S6 NA Swiss","Shambling Undead",23461,186.01,215.79,NA,"seanh1986",237.13,276.77,239.8,"Canada","345 (192/83/70)",67.68,1000,"NA Swiss"
"209","russcastronovo","Super League S6 NA Swiss","Amazon",18550,182.82,190.52,NA,"russcastronovo",223.28,253.55,249.87,"United States of America","202 (91/50/61)",57.43,1000,"NA Swiss"
"210","Xanzian","Super League S6 NA Swiss","Chaos Dwarf",6193,179.82,200.01,NA,"szrlm",211.87,225.34,225.34,"United States of America","478 (193/87/198)",49.48,1000,"NA Swiss"
"211","Bazakastine","Super League S6 NA Swiss","Vampire",29474,178.86,198.3,NA,"bazakastine",254.13,273.4,257.69,"United States of America","106 (71/20/15)",76.42,1000,"NA Swiss"
"212","Jogrenaught","Super League S6 NA Swiss","Khorne",22460,178.04,208.33,NA,"Jogrenaut",218.79,244.15,221.87,"United States of America","326 (172/77/77)",64.57,1000,"NA Swiss"
"213","DaCrusha","Super League S6 NA Swiss","Amazon",16105,173.52,173.52,NA,"DaCrusha",180,191.55,187.12,"United States of America","105 (40/24/41)",49.52,1000,"NA Swiss"
"214","Meerkul","Super League S6 NA Swiss","Orc",28335,173.05,208.5,NA,"Meerkul",197.77,234.98,232.84,"Canada","271 (123/70/78)",58.3,1000,"NA Swiss"
"215","Pauladin","Super League S6 NA Swiss","Vampire",24875,172.75,228.03,NA,"pauladin",211.85,236.45,223.11,"United States of America","179 (94/32/53)",61.45,1000,"NA Swiss"
"216","guitwiz","Super League S6 NA Swiss","Dwarf",33710,169.81,190.75,NA,"guitamasta",237,245.8,245.8,"Canada","131 (63/29/39)",59.16,1000,"NA Swiss"
"217","Grimfoe","Super League S6 NA Swiss","Vampire",24873,169.15,189.37,NA,"grimfoe",223.52,223.69,223.52,"United States of America","166 (86/39/41)",63.55,1000,"NA Swiss"
"218","TheRedoubt","Super League S6 NA Swiss","Nurgle",37895,169.01,169.01,NA,"theredoubt",182.84,191.55,191.55,"On a deserted island","24 (14/3/7)",64.58,1000,"NA Swiss"
"219","Midris","Super League S6 NA Swiss","Vampire",31166,155.14,174.68,NA,"midris",196.68,199.99,199.99,"United States of America","64 (35/10/19)",62.5,1000,"NA Swiss"
"220","DiscoJones","Super League S6 NA Swiss","Shambling Undead",37410,150.94,150.94,NA,"discojones",153.84,153.84,0,"On a deserted island","4 (2/0/2)",50,1000,"NA Swiss"
"221","paulc899","Super League S6 NA Swiss","Shambling Undead",6654,149.58,179.82,NA,"Paul",169.72,187.56,175.01,"Canada","72 (36/11/25)",57.64,1000,"NA Swiss"
"222","paperbag4","Super League S6 NA Swiss","Dwarf",17898,149.26,167.34,NA,"paperbag4",191.67,200.25,198.38,"United States of America","69 (31/8/30)",50.72,1000,"NA Swiss"
"223","Supernintendochalmer","Super League S6 NA Swiss","Dwarf",31366,147.41,151.56,NA,"supernintendochalmer",148.07,170.46,157.24,"Canada","118 (39/17/62)",40.25,1000,"NA Swiss"
"224","CoachBB","Super League S6 NA Swiss","High Elf",18958,142.18,166.37,NA,"coachbb",176.04,176.04,176.04,"United States of America","90 (39/13/38)",50.56,1000,"NA Swiss"
"225","Runbad","Super League S6 NA Swiss","Norse",33324,137.55,226.96,NA,"runbad",252.95,260.47,260.47,"Canada","204 (105/48/51)",63.24,1000,"NA Swiss"
"226","Chuk","Super League S6 NA Swiss","Elven Union",38058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"NA Swiss"
"227","simplysutphin","Super League S6 NA Swiss","Slann",29783,NA,164.4,NA,"Sutphin",153.48,153.48,153.48,"United States of America","28 (9/4/15)",39.29,1000,"NA Swiss"
"228","trefenwyd","Super League S6 NA Swiss","Shambling Undead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"NA Swiss"
"229","HouseBlackfyre","Super League S6 NA Swiss","Elven Union",28534,NA,186.11,NA,"houseblackfyre",210.72,231.26,222.74,"United States of America","363 (176/88/99)",60.61,1000,"NA Swiss"
"230","ogjaylowe","Super League S6 NA Swiss","Vampire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"NA Swiss"
"231","Drakenspear","Super League S6 NA Swiss","Elven Union",28841,NA,223.33,NA,"Drakenspear",262.06,269.21,269.21,"Canada","251 (141/63/47)",68.73,1000,"NA Swiss"
"232","Dirtygit","Super League S6 NA Swiss","Elven Union",19152,NA,220.31,NA,"Bastich",218.27,262.16,226.14,"Canada","150 (87/36/27)",70,1000,"NA Swiss"
"233","happygrue","Super League S6 NA Swiss","Vampire",16876,NA,199.4,NA,"happygrue",210.36,211.43,210.36,"United States of America","21 (15/4/2)",80.95,1000,"NA Swiss"
"234","Thorven23","Super League S6 NA Swiss","Human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"NA Swiss"
